date,close,open,high,low,volume,s,RSI
2017-10-03,237.75,233.95,237.75,230.15,159250,ok,58.27151854443665
2017-10-04,233.87,237.75,233.95,233.87,294370,ok,56.731162283689876
2017-10-08,224.33,233.87,230.07,214.78,1883700,ok,53.26893551688843
2017-10-09,221.29,224.33,227.96,211.57,545336,ok,52.252761044176694
2017-10-10,217.91,221.29,217.91,214.44,1137620,ok,51.16750645200933
2017-10-11,220.02,217.91,224.24,220.02,570160,ok,51.79253867151955
2017-10-12,220.27,220.02,226.1,220.27,256140,ok,51.86553603876438
2017-10-15,223.73,220.27,223.82,220.95,808110,ok,47.51684057588165
2017-10-16,219.51,223.73,220.19,214.95,929731,ok,38.827571083985084
2017-10-17,222.13,219.51,226.35,219.17,1079570,ok,29.512338920239216
2017-10-18,228.46,222.13,228.46,211.74,1462560,ok,18.159593193819703
2017-10-22,228.3,228.46,228.3,221.12,86220,ok,21.312980603695635
2017-10-23,220.02,228.3,224.66,220.02,147770,ok,25.84551148225472
2017-10-24,216.73,220.02,223.4,216.47,559126,ok,34.16114790286977
2017-10-25,228.46,216.73,230.41,219.93,1706900,ok,42.542944292823904
2017-10-29,225.93,228.46,225.93,221.45,225625,ok,43.48539547095505
2017-10-30,220.02,225.93,222.3,220.02,126270,ok,46.239748734950275
2017-10-31,220.02,220.02,223.4,220.02,317450,ok,48.82992445181502
2017-11-01,220.02,220.02,220.02,220.02,0,ok,52.07309884063669
2017-11-02,226.61,220.02,226.61,221.71,1322250,ok,55.950875925591475
2017-11-05,229.31,226.61,230.15,228.89,221200,ok,57.81736423382912
2017-11-06,227.03,229.31,230.83,227.03,505100,ok,52.913135593220346
2017-11-07,227.62,227.03,230.66,227.62,144313,ok,57.64950009432184
2017-11-08,223.99,227.62,224.49,223.99,213110,ok,51.72158459829694
2017-11-09,222.13,223.99,222.13,218.16,248790,ok,43.61251261352169
2017-11-12,219.0,222.13,219.0,218.58,123950,ok,41.14623000761615
2017-11-13,219.0,219.0,219.0,219.0,0,ok,48.847197106690764
2017-11-14,219.85,219.0,219.85,215.54,143270,ok,53.73205741626795
2017-11-15,216.55,219.85,223.31,216.55,394730,ok,32.154629907102176
2017-11-16,214.95,216.55,216.64,213.18,427000,ok,33.07644882860663
2017-11-19,214.95,214.95,214.95,214.95,0,ok,40.44477949491137
2017-11-20,203.38,214.95,211.83,203.38,4079950,ok,28.162729658792628
2017-11-21,219.0,203.38,219.26,200.85,2557510,ok,49.0506329113924
2017-11-22,219.0,203.38,220.69,209.8,1601160,ok,41.92658603861658
2017-11-23,215.63,219.0,219.0,215.54,446810,ok,35.69037656903765
2017-11-26,209.29,215.63,213.09,206.5,1307510,ok,32.89625915927496
2017-11-27,206.16,209.29,211.4,206.16,1661080,ok,30.275735294117638
2017-11-28,206.16,206.16,209.29,206.16,632510,ok,32.440417569430764
2017-11-29,209.04,206.16,214.78,209.04,781600,ok,37.3624251786059
2017-11-30,209.04,209.04,209.04,209.04,0,ok,39.765721331689264
2017-12-04,207.6,209.04,207.6,206.0,284710,ok,38.62275449101795
2017-12-05,207.69,207.6,207.69,205.15,734400,ok,37.677340899878395
2017-12-06,205.24,207.69,208.02,205.24,992670,ok,38.337801608579085
2017-12-10,205.24,205.24,205.49,205.24,260556,ok,39.6459799530817
2017-12-11,202.96,205.24,202.96,202.96,111600,ok,37.80760626398211
2017-12-12,199.66,202.96,201.27,199.66,840970,ok,45.452322738386314
2017-12-13,202.11,199.66,202.11,202.11,88050,ok,19.545618463757705
2017-12-14,205.24,202.11,205.24,202.11,37370,ok,27.705767984445913
2017-12-17,195.86,205.24,202.11,192.99,1431880,ok,23.189585028478476
2017-12-18,201.86,195.86,201.86,198.82,609110,ok,39.83027648508079
2017-12-19,200.93,201.86,204.05,200.93,166350,ok,42.38275560734053
2017-12-20,200.93,200.93,200.93,200.93,0,ok,42.38275560734053
2017-12-21,198.99,200.93,202.11,198.99,54760,ok,34.950584007187814
2017-12-24,196.28,198.99,196.28,196.2,231450,ok,32.32686980609421
2017-12-26,191.55,196.28,194.51,191.55,921840,ok,29.626808834729644
2017-12-27,191.55,191.55,191.55,191.55,0,ok,29.465648854961856
2017-12-28,196.37,191.55,196.37,193.67,89972,ok,39.35685145188385
2017-12-31,191.98,196.37,193.41,190.71,97070,ok,35.605731654363865
2018-01-01,194.85,191.98,194.85,194.85,17640,ok,41.30760986066451
2018-01-02,194.93,194.85,194.93,192.06,121890,ok,44.55445544554457
2018-01-03,193.58,194.93,193.58,189.1,6517580,ok,39.92440349633829
2018-01-04,190.71,193.58,191.13,190.71,1012000,ok,32.73116234846684
2018-01-07,190.71,190.71,193.5,189.61,905612,ok,42.12297338635668
2018-01-08,191.98,190.71,191.98,191.81,2075050,ok,32.33190271816878
2018-01-09,193.24,191.98,193.24,191.98,417050,ok,36.408624955814794
2018-01-10,192.4,193.24,192.4,191.13,242300,ok,35.35873669756266
2018-01-14,192.4,192.4,192.4,192.4,0,ok,37.88157410812799
2018-01-16,189.53,192.4,189.53,189.53,170100,ok,37.65996343692871
2018-01-17,189.53,189.53,189.53,189.53,0,ok,45.53492484526966
2018-01-21,191.55,189.53,194.51,191.55,541660,ok,50.0
2018-01-22,201.77,191.55,201.77,192.74,6539560,ok,58.98801597869507
2018-01-23,201.27,201.77,201.27,197.04,1354520,ok,67.76290630975144
2018-01-24,205.49,201.27,205.49,203.8,470090,ok,69.34545454545456
2018-01-25,213.77,205.49,216.47,208.61,3817320,ok,76.38655462184873
2018-01-28,203.38,213.77,216.47,203.38,608640,ok,60.95216808225299
2018-01-29,209.71,203.38,209.71,205.07,686050,ok,69.70954356846471
2018-01-31,213.93,209.71,213.93,209.8,512400,ok,72.14803510110643
2018-02-01,215.62,213.93,215.62,214.78,1103250,ok,72.36941710825131
2018-02-04,214.78,213.93,219.0,214.78,1434900,ok,70.5455932850057
2018-02-05,214.69,213.93,214.69,211.48,135590,ok,71.56957615637698
2018-02-06,208.87,214.69,211.4,208.87,212000,ok,64.3242303009219
2018-02-07,212.07,208.87,212.07,212.07,19380,ok,69.4915254237288
2018-02-08,211.99,212.07,215.28,211.99,39130,ok,69.39550949913645
2018-02-11,211.99,211.99,211.99,211.99,9500,ok,68.28919112383679
2018-02-12,216.71,211.99,216.71,210.55,709942,ok,64.82731242556571
2018-02-14,216.97,216.71,216.97,216.97,19400,ok,65.6561627443159
2018-02-15,222.96,216.97,222.96,218.66,1856920,ok,66.82720092467733
2018-02-18,222.96,222.96,222.96,222.96,0,ok,60.53174421269768
2018-02-20,219.92,222.96,219.92,219.92,395000,ok,72.79492833517088
2018-02-21,219.92,219.92,219.92,219.92,0,ok,67.04507512520865
2018-02-22,219.92,219.92,219.92,219.92,0,ok,61.64010882238629
2018-02-25,219.92,219.92,219.92,219.92,0,ok,58.94342762063225
2018-02-26,217.81,219.92,217.81,217.81,39000,ok,55.985776372975124
2018-02-27,217.81,217.81,217.81,217.81,0,ok,56.18556701030929
2018-02-28,211.39,217.81,214.6,211.39,37860,ok,54.87993803253289
