,id,contractId,contractType,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
241,,2021053105001119,,SHL,35,48,159,240.0,38160.0,2021-05-31,30127335,147,Kohinoor Investment & Securities Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.139497,Soaltee Hotel Limited
242,,2021053105001118,,SHL,49,48,100,240.0,24000.0,2021-05-31,30127334,147,Online Securities Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.138957,Soaltee Hotel Limited
243,,2021053105001117,,SHL,3,48,100,241.0,24100.0,2021-05-31,30127332,147,Arun Securities (PVT) Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.138392,Soaltee Hotel Limited
244,,2021053105001116,,SHL,45,48,100,241.0,24100.0,2021-05-31,30127330,147,Imperial Securities Company Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.137848,Soaltee Hotel Limited
245,,2021053105001115,,SHL,57,48,100,241.0,24100.0,2021-05-31,30127328,147,Aryatara Investment & Securities,Trishakti Securities Public Limited,2021-05-31T13:56:10.137333,Soaltee Hotel Limited
246,,2021053105001114,,SHL,13,48,100,241.0,24100.0,2021-05-31,30127326,147,Thrive Brokerage House Pvt. Ltd,Trishakti Securities Public Limited,2021-05-31T13:56:10.136808,Soaltee Hotel Limited
247,,2021053105001113,,SHL,58,48,100,241.0,24100.0,2021-05-31,30127324,147,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.136294,Soaltee Hotel Limited
248,,2021053105001112,,SHL,42,48,100,241.0,24100.0,2021-05-31,30127322,147,Sani Securities Company Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.135774,Soaltee Hotel Limited
249,,2021053105001111,,SHL,43,48,1000,241.0,241000.0,2021-05-31,30127320,147,South Asian Bulls Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.135268,Soaltee Hotel Limited
250,,2021053105001110,,SHL,38,48,100,241.0,24100.0,2021-05-31,30127318,147,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.134739,Soaltee Hotel Limited
251,,2021053105001109,,SHL,32,48,100,241.0,24100.0,2021-05-31,30127316,147,Premier Securities Company Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.134211,Soaltee Hotel Limited
252,,2021053105001108,,SHL,52,48,100,241.0,24100.0,2021-05-31,30127314,147,Sundhara Securities Limited,Trishakti Securities Public Limited,2021-05-31T13:56:10.133711,Soaltee Hotel Limited
253,,2021053105001107,,SHL,56,48,100,242.0,24200.0,2021-05-31,30127312,147,Sri Hari Securities Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.133177,Soaltee Hotel Limited
254,,2021053105001106,,SHL,58,48,200,242.0,48400.0,2021-05-31,30127310,147,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.132665,Soaltee Hotel Limited
255,,2021053105001105,,SHL,58,48,200,242.0,48400.0,2021-05-31,30127308,147,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2021-05-31T13:56:10.132098,Soaltee Hotel Limited
