date,adjclose,open,high,low,volume,other,RSI,stoch,stochsignal,rsidata,rsidata_k,rsidata_d,macd,macddiff,macdsignal
2018-04-19,1701.45,1687.19,1708.83,1672.75,140780000.0,ok,73.61867992618667,94.94345757525048,95.35360083718524,1.0,1.0,0.9962490454502344,69.47907148976878,39.46187517437398,30.017196315394806
2018-04-22,1801.68,1701.45,1803.63,1701.45,162464000.0,ok,78.73938518894828,99.60945323452833,95.36236243288323,1.0,1.0,1.0,85.1887060693457,44.13720780316071,41.051498266184986
2018-04-23,1770.9,1801.68,1847.8,1738.62,281878016.0,ok,73.98974865075189,85.67009540846752,93.40766873941544,0.8735498845364524,0.9578499615121507,0.9859499871707169,90.526263159687,39.57981191480161,50.946451244885395
2018-04-24,1760.39,1770.9,1778.42,1731.91,133471000.0,ok,72.38417305427556,81.76603112353459,89.01519325551016,0.8026239088586228,0.8920579311316916,0.9499692975479475,90.81343193425164,31.893584551492992,58.91984738275865
2018-04-25,1742.07,1760.39,1762.09,1737.83,118081000.0,ok,69.55101931100258,75.91077897518852,81.11563516906354,0.6509973515593952,0.7757237149848234,0.875210535876222,86.7341058540926,22.25140677706716,64.48269907702544
2018-04-26,1698.81,1742.07,1750.0,1689.26,102864000.0,ok,63.25498598355295,63.52307503978455,73.73329504616923,0.4118544685768659,0.6218252429982946,0.7632022963716031,76.96558150598025,9.986305943163842,66.97927556281641
2018-04-29,1694.74,1698.81,1722.58,1676.76,58939500.0,ok,62.680094678334775,62.52662504590527,67.32015968695946,0.3900183128608425,0.48429004433236783,0.6272796674384953,67.85942685775512,0.7041210359509762,67.15530582180415
2018-05-02,1741.1,1694.74,1743.23,1670.63,81861000.0,ok,66.42344763917009,73.87685151181294,66.64218386583427,0.5218021558525691,0.4412249790967591,0.5157800888091405,65.03938347484018,-1.6927378775711759,66.73212135241135
2018-05-03,1757.65,1741.1,1776.09,1741.14,179791008.0,ok,67.67015112586162,76.89113327010334,71.09820327594052,0.5465661709780073,0.48612887989713954,0.4705479677754221,63.32270203789062,-2.727535451616589,66.05023748950721
2018-05-06,1750.11,1757.65,1762.66,1747.44,67793296.0,ok,66.45943658151872,74.9583450821563,75.24210995469087,0.46427851930834685,0.5108822820463077,0.47941204701340207,59.734559265730695,-5.052542579021207,64.7871018447519
2018-05-07,1728.21,1750.11,1750.11,1722.48,64604800.0,ok,62.93726942982524,66.7047162982349,72.85139821683151,0.016014079284543483,0.3422862565236325,0.44643247282235987,53.34560724384892,-9.15319568072239,62.49880292457131
2018-05-08,1763.97,1728.21,1765.72,1720.68,71183000.0,ok,66.09686332731164,70.67137809187281,70.77814649075468,0.21275962638067591,0.23101740832452203,0.36139531563148736,51.584711839983584,-8.731272867670185,60.31598470765377
2018-05-09,1757.34,1763.97,1769.99,1749.05,86030200.0,ok,64.99063359613936,50.759348973926286,62.711814454678006,0.14387552901403475,0.12421641155975134,0.2325066921359686,48.356939416571095,-9.567236232866144,57.92417564943724
2018-05-10,1742.93,1757.34,1761.59,1741.63,72387104.0,ok,62.54065637267388,40.8082632499859,54.079663438595,0.0,0.11887838513157019,0.15803740167194785,43.33028343454362,-11.675113771914901,55.00539720645852
2018-05-14,1720.34,1742.93,1744.05,1718.9,66450400.0,ok,58.7985605538837,28.057797595529635,39.875136606480616,0.0,0.04795850967134488,0.09701776878755547,36.27518094241236,-14.984173011236926,51.25935395364929
2018-05-15,1714.72,1720.34,1725.88,1713.85,33014600.0,ok,57.870840327080145,24.885702997121385,31.250587947545643,0.0,0.0,0.05561229826763836,29.877451294953516,-17.10552212695662,46.98297342191014
2018-05-16,1737.56,1714.72,1737.56,1713.66,54801100.0,ok,60.592147506998494,62.0929585304758,38.34548637437561,0.1875039476507767,0.06250131588359219,0.036819941851645686,27.254392494365675,-15.782864742035578,43.03725723640125
2018-05-17,1733.54,1737.56,1750.69,1730.17,78628400.0,ok,59.859254277067556,59.65294898539728,48.8772035043315,0.17023831164954253,0.11924741976677304,0.060582911883455076,24.321305113851395,-14.97276169803989,39.294066811891284
2018-05-20,1741.44,1733.54,1760.25,1733.41,75822896.0,ok,60.86114015833889,67.14394083064676,62.96328278217328,0.3051540963095685,0.22096545186996255,0.13423806250677592,22.57074334179606,-13.378658776076179,35.94940211787224
2018-05-21,1777.26,1741.44,1778.13,1732.38,85067200.0,ok,65.11300592469595,99.1906976744185,75.32919583015418,0.7390484643589805,0.4048136241060305,0.2483421652475887,24.783176108232055,-8.932980807712148,33.716156915944204
2018-05-22,1783.01,1777.73,1783.01,1760.39,107175000.0,ok,65.75611022284608,100.00000000000001,88.77821283502176,0.8046759672880731,0.6162928426522073,0.4140239728760668,26.339717870009054,-5.90115123674812,32.240869106757174
2018-05-23,1788.58,1783.01,1790.8,1765.53,99888704.0,ok,66.4022114808628,97.12211563391233,98.77093776944362,0.8706093039567161,0.8047779118679234,0.6086281262087203,27.38437099247176,-3.8851984914283335,31.269569483900092
2018-05-24,1754.6,1788.58,1794.8,1749.28,138648000.0,ok,59.07897121633496,50.456001971900285,82.52603920193755,0.14066686260056507,0.6053173779484514,0.6754627108228606,23.65488744769368,-6.091745628965132,29.746633076658814
2018-05-27,1726.68,1754.6,1755.99,1723.64,74831696.0,ok,53.82617027585442,16.04633965984718,54.541485755219945,0.0,0.33709205551909377,0.5823957817784895,17.39018555383018,-9.88515801826291,27.27534357209309
2018-05-28,1785.74,1726.68,1786.1,1712.46,92266800.0,ok,61.60322984139274,88.9968423609425,51.83306133089667,0.6184028374876125,0.25302323336272586,0.39847755561009035,19.191868551805328,-6.46678001623021,25.658648568035538
2018-05-29,1770.26,1785.74,1794.3,1766.41,74134496.0,ok,58.80738175999096,70.1967452028176,58.41330907453577,0.3960874016660172,0.3381634130512099,0.3094262339776765,18.24360325282987,-5.932036252164533,24.175639504994404
2018-05-30,1774.64,1770.26,1804.13,1759.25,134175000.0,ok,59.36927332661268,67.8302607177921,75.67461609385073,0.4407669281928503,0.4850857224488267,0.3587574562875875,17.624219755937474,-5.241135799245544,22.86535555518302
2018-05-31,1757.07,1770.26,1775.34,1752.94,83678600.0,ok,56.06549347476514,48.66368495691051,62.23023029250675,0.1780626480468999,0.33830565930192247,0.38718493160065304,14.80861586287756,-6.445391753844369,21.25400761672193
