date,adjclose,open,high,low,volume,other,RSI
1578787200,495,480,515,479,80580,ok,67.26101709827184
1578873600,491,503,505,487,40469,ok,65.28814086569567
1578960000,490,486,494,485,25187,ok,64.77660126506254
1579046400,477,481,490,477,35944,ok,58.37352182320983
1579132800,524,485,524,475,265414,ok,69.94188017040774
1579392000,542,525,566,525,183654,ok,73.03286072512294
1579478400,515,552,552,511,110112,ok,62.62917766598069
1579564800,527,540,547,505,108179,ok,65.0145615823736
1579651200,516,553,553,516,46306,ok,61.16071594567658
1579737600,511,512,529,508,49418,ok,59.4360861572396
1579996800,505,504,520,503,57540,ok,57.34633339862762
1580083200,511,505,518,505,35813,ok,58.90246099069121
1580169600,506,518,519,506,33455,ok,57.03507420356328
1580256000,508,509,519,507,42633,ok,57.61392773899517
1580342400,522,510,539,510,73610,ok,61.52189586689085
1580601600,535,530,550,522,103631,ok,64.77007216152454
1580688000,527,545,547,525,37585,ok,61.3385205006329
1580774400,521,501,536,501,36287,ok,58.82143636380391
1580860800,514,520,525,514,21534,ok,55.9374160815715
1580947200,512,515,522,510,16925,ok,55.10607582830772
1581206400,522,509,523,506,43144,ok,58.43255229314644
1581292800,544,520,568,517,251062,ok,64.6400417936961
1581379200,558,534,573,524,272224,ok,67.92287014224628
1581465600,579,556,586,545,175730,ok,72.10618280241235
1581552000,577,590,590,568,168631,ok,71.15443435404238
1581811200,604,582,609,570,218650,ok,75.79860818463906
1581897600,610,616,634,597,211415,ok,76.6964974469582
1581984000,623,620,624,611,122625,ok,78.5531189004547
1582070400,640,615,647,610,234747,ok,80.7167026641569
1582156800,667,640,693,645,256902,ok,83.55435957826846
1582416000,670,678,680,652,134267,ok,83.83893071863149
1582502400,677,670,699,667,191116,ok,84.51235224564289
1582588800,683,680,693,672,92434,ok,85.08600462715663
1582675200,726,696,731,690,258669,ok,88.40161059410983
1582761600,709,721,738,697,209359,ok,80.75766140129156
1583020800,672,709,712,668,133923,ok,67.14849866673003
1583107200,627,661,683,627,69446,ok,55.00725627770395
1583193600,640,627,669,605,124433,ok,57.40342306896607
1583280000,608,650,655,603,105492,ok,50.301917713654746
1583366400,590,597,620,586,83780,ok,46.79504722008069
1583798400,535,579,586,535,39921,ok,38.063049182894105
1583884800,588,545,588,535,100768,ok,48.11118226893691
1583971200,572,595,610,567,133489,ok,45.70078822980528
1584230400,549,600,600,539,136019,ok,42.41138575358456
1584316800,549,545,570,531,62775,ok,42.41138575358456
1584403200,514,552,553,503,49181,ok,37.63113951066154
1584489600,497,523,523,487,56031,ok,35.536050291029795
1584576000,500,489,517,472,93612,ok,36.21097931454974
1584835200,487,504,504,485,6300,ok,34.524150633202154
1589241600,473,478,478,473,82,ok,32.75456374139324
1589328000,459,464,464,459,23,ok,31.0411158633996
1593388800,500,450,499,414,45132,ok,40.80696847595772
1593475200,550,501,550,501,23338,ok,50.08979302530829
1593561600,583,561,595,561,44375,ok,55.09511238289386
1593648000,532,580,580,532,28976,ok,47.21451914039231
1593907200,557,522,563,512,61319,ok,50.92047867534043
1593993600,588,551,588,551,43649,ok,55.12748328012479
1594080000,600,599,621,595,61122,ok,56.675619825473085
1594166400,590,600,612,586,42042,ok,54.973516993356455
1594252800,600,586,603,576,30465,ok,56.3841641535554
1594512000,603,609,612,590,16247,ok,56.82120978277463
1594598400,601,610,615,599,19570,ok,56.41535252907512
1594684800,600,591,606,591,23739,ok,56.19920627874
1594771200,598,610,610,584,20376,ok,55.73923986575869
1594857600,618,606,620,593,35812,ok,59.324445755400006
1595116800,675,640,678,640,4215,ok,67.42342369092896
1595203200,615,690,690,608,57703,ok,55.00748397047711
1595289600,615,605,632,601,39417,ok,55.00748397047711
