,adjclose,open,high,low,volume,other,RSI
903,267,278,278,267,691,ok,43.07138026983987
904,267,267,267,262,4310,ok,43.07138026983988
905,263,272,272,263,685,ok,40.668685393241375
906,259,265,265,258,1596,ok,38.36396621305423
907,268,262,268,262,410,ok,45.80576877180223
908,263,266,266,263,400,ok,42.7198442615198
909,272,260,272,260,2528,ok,49.33621647799095
910,263,267,267,263,150,ok,43.87803923134547
911,266,258,268,258,338,ok,46.021739712759945
912,268,268,268,268,400,ok,47.462507645390296
913,270,270,270,270,10,ok,48.93049226566884
914,265,269,269,264,1534,ok,45.50710474262353
915,261,261,265,261,919,ok,42.92001769756216
916,274,266,274,266,613,ok,52.39270835840601
917,271,271,271,269,1450,ok,50.31745659350277
918,271,274,274,266,1110,ok,50.317456593502754
919,275,0,275,275,1000,ok,53.1848946885104
920,270,271,271,270,1000,ok,49.3506665566006
921,265,265,270,265,631,ok,45.79521754020717
922,265,265,265,265,350,ok,45.795217540207176
923,275,270,275,265,1103,ok,53.55638128059888
924,278,271,279,271,299,ok,55.60982152569904
925,275,273,278,273,1296,ok,53.08232460472964
926,270,274,274,270,606,ok,49.078595434466095
927,275,270,275,266,5028,ok,52.90404963855762
928,275,276,276,271,200,ok,52.90404963855761
929,274,270,275,270,1891,ok,51.997965871282354
930,278,274,278,270,94,ok,55.29610853542475
931,270,278,273,268,106,ok,48.16787438940296
932,265,265,265,262,1943,ok,44.32219276675492
933,266,260,266,256,570,ok,45.26344918683477
934,255,261,261,246,4445,ok,37.71124001594681
935,251,260,260,244,2783,ok,35.39831804664027
936,242,246,246,242,225,ok,30.818310476507364
937,234,242,246,234,2909,ok,27.421948009466437
938,231,230,234,230,612,ok,26.253502641196505
939,230,230,230,226,917,ok,25.85798288570679
940,226,226,230,222,781,ok,24.282141209192133
941,226,226,226,222,702,ok,24.282141209192133
942,236,230,236,230,2060,ok,35.65216233014954
943,238,235,240,235,600,ok,37.66814897319822
944,245,242,255,242,170,ok,44.2513996002394
945,245,245,249,245,73,ok,44.2513996002394
946,242,241,242,237,2069,ok,42.04426069155305
947,238,238,238,238,50,ok,39.23434987482999
948,231,238,235,231,650,ok,34.84545940505804
949,235,235,239,235,1676,ok,39.04176673995053
950,239,239,239,235,393,ok,42.995577124511065
951,247,243,247,243,580,ok,49.98298245747657
952,235,243,243,235,1405,ok,41.721734121027815
953,236,232,239,232,2529,ok,42.57353683107561
954,236,240,240,236,142,ok,42.57353683107561
955,240,240,240,240,1010,ok,46.22008430652284
956,240,240,240,240,200,ok,46.22008430652284
957,244,244,244,244,50,ok,49.90900111869325
958,236,240,240,236,42,ok,43.48464827941616
959,228,233,233,228,420,ok,38.19055958877435
960,228,232,232,224,580,ok,38.19055958877435
961,228,225,228,224,300,ok,38.19055958877435
962,226,225,226,225,1100,ok,36.79193258034511
963,220,222,223,220,2434,ok,32.899339505279585
964,214,220,228,214,6119,ok,29.53424711385071
