date,open,high,low,adjclose,volume,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
2019-06-13,820.0,834.0,818,827.0,9849,65.25902335,762.6757,808.0,0.0,64.32427978515625
2019-06-16,827.0,822.0,813,814.0,13511,58.49148881,760.4442,810.0000000000001,0.0,53.5557861328125
2019-06-17,814.0,816.0,807,816.0,10347,60.1658156,758.47595,804.0,0.0,57.5240478515625
2019-06-18,816.0,816.0,806,814.0,8230,59.07809151,756.7636,800.0,0.0,57.23638916015625
2019-06-19,814.0,829.0,803,814.0,3158,59.07809151,755.85034,785.0000000000001,0.0,58.149658203125
2019-06-24,805.0,808.0,802,808.0,3446,55.96792333,753.90735,785.0000000000001,0.0,54.0926513671875
2019-06-25,808.0,810.0,800,810.0,4883,57.31626494,752.7158,784.0,0.0,57.2841796875
2019-06-26,810.0,810.0,802,804.0,7826,54.24561705,751.499,795.0,0.0,52.5009765625
2019-06-27,804.0,815.0,799,800.0,12955,52.11301844,750.3564,798.0,0.0,49.64361572265625
2019-06-30,800.0,806.0,785,785.0,28406,42.83505147,747.2168,790.0,-37.783203125,0.0
2019-07-01,785.0,785.0,780,785.0,8539,42.83505147,743.3901,787.0,-41.60992431640625,0.0
2019-07-02,785.0,785.0,775,784.0,9500,42.19122549,740.7384,806.0,-43.2615966796875,0.0
2019-07-03,784.0,799.0,775,795.0,7949,47.67582468,742.1687,811.0,-52.831298828125,0.0
2019-07-04,795.0,800.0,795,798.0,10401,49.2987655,746.83984,823.0,-51.16015625,0.0
2019-07-07,798.0,805.0,790,790.0,6481,44.63163178,751.4663,825.0,-38.53369140625,0.0
2019-07-08,790.0,790.0,785,787.0,4253,42.79809866,754.84924,799.0000000000001,-32.1507568359375,0.0
2019-07-09,787.0,806.0,786,806.0,11678,53.14875216,761.5812,800.0,0.0,44.4188232421875
2019-07-10,806.0,815.0,801,811.0,9931,56.48704042,770.5117,813.0000000000001,-40.48828125,0.0
2019-07-11,811.0,824.0,813,823.0,8966,65.68086431,781.7832,812.0,0.0,41.216796875
2019-07-14,823.0,827.0,820,825.0,3781,67.37805201,792.13306,801.0,0.0,32.866943359375
2019-07-15,825.0,833.0,799,799.0,30861,52.58957083,795.6532,805.0,-3.3468017578125,0.0
2019-07-16,799.0,838.0,792,800.0,25920,53.45502523,794.9011,808.0,-5.098876953125,0.0
2019-07-17,800.0,814.0,800,813.0,17512,66.7067731,795.0105,812.0,0.0,17.989501953125
2019-07-18,813.0,820.0,808,812.0,15304,66.10660675,794.58044,805.0,0.0,17.4195556640625
2019-07-21,812.0,810.0,800,801.0,19195,58.45737786,790.4159,797.0,0.0,10.5841064453125
2019-07-22,801.0,819.0,803,805.0,19698,63.27962093,785.9425,803.0,0.0,19.0574951171875
2019-07-23,805.0,810.0,802,808.0,13387,67.13658501,782.0498,801.0,0.0,25.9501953125
2019-07-24,808.0,815.0,805,812.0,17884,72.61646274,779.8537,800.0,0.0,32.14630126953125
2019-07-25,812.0,811.0,800,805.0,11336,68.42897366,776.0838,801.0,0.0,28.91619873046875
2019-07-28,805.0,808.0,796,797.0,17431,62.31304429,769.34076,799.0000000000001,-27.65924072265625,0.0
2019-07-29,797.0,805.0,798,803.0,10970,72.03086729,764.06,800.0,0.0,38.94000244140625
2019-07-30,803.0,805.0,800,801.0,10926,70.61230091,758.9834,790.0,0.0,42.0166015625
2019-07-31,801.0,805.0,800,800.0,9199,69.90358739,753.643,790.0,0.0,46.35699462890625
2019-08-01,800.0,805.0,800,801.0,11281,71.50482505,748.7818,790.0,0.0,52.21820068359375
2019-08-04,801.0,803.0,796,799.0,11095,70.23877022,743.7862,784.0,0.0,55.21380615234375
2019-08-05,799.0,800.0,795,800.0,9946,71.71820534,739.2252,783.0,0.0,60.7747802734375
2019-08-06,800.0,795.0,789,790.0,13321,64.84180974,732.9278,782.0000000000001,0.0,57.07220458984375
2019-08-07,790.0,795.0,784,790.0,9174,64.84180974,726.42065,778.9999999999999,0.0,63.579345703125
2019-08-08,790.0,796.0,787,790.0,10432,64.84180974,720.92975,784.0,0.0,69.07025146484375
2019-08-11,790.0,788.0,781,784.0,9920,60.19216651,715.26373,778.9999999999999,0.0,68.73626708984375
2019-08-12,784.0,788.0,782,783.0,5650,59.36038987,710.3387,778.0,0.0,72.66131591796875
2019-08-13,783.0,785.0,781,782.0,6190,58.55628599,706.7142,778.0,0.0,75.28582763671875
2019-08-14,782.0,784.0,775,779.0,11640,56.13870725,704.189,778.0,0.0,74.81097412109375
2019-08-15,779.0,785.0,780,784.0,13055,61.70979683,704.8738,777.0,0.0,79.126220703125
2019-08-18,784.0,790.0,779,779.0,12387,57.82322775,706.3325,776.0,0.0,72.66748046875
2019-08-19,779.0,784.0,776,778.0,10297,57.01289721,707.8788,775.0,0.0,70.1212158203125
2019-08-20,778.0,782.0,777,778.0,12518,57.01289721,709.7201,778.0,0.0,0.0
2019-08-21,778.0,779.0,775,778.0,13659,57.01289721,711.8237,770.0,0.0,66.17626953125
2019-08-22,778.0,781.0,777,777.0,7473,56.34130513,713.8309,770.0,0.0,63.16912841796875
2019-08-25,777.0,780.0,771,776.0,7386,55.69861743,715.626,769.0,0.0,60.3740234375
2019-08-26,776.0,776.0,760,775.0,23330,55.08465859,717.4773,758.0,0.0,57.522705078125
2019-08-27,775.0,780.0,771,778.0,5949,57.29667302,719.7799,774.0,0.0,58.2200927734375
2019-08-28,778.0,790.0,770,770.0,4274,52.58160221,720.9663,777.0,-49.03369140625,0.0
2019-08-29,770.0,775.0,768,770.0,9213,52.58160221,721.4198,780.0,-48.5802001953125,0.0
2019-09-01,770.0,772.0,767,769.0,9261,52.01050062,721.58466,776.0,-47.41534423828125,0.0
2019-09-02,769.0,769.0,756,758.0,6969,45.27870599,719.73254,776.0,-38.2674560546875,0.0
2019-09-03,758.0,775.0,750,774.0,8894,55.86268767,721.14374,769.0,0.0,52.85626220703125
2019-09-04,774.0,781.0,770,777.0,15241,58.23263164,725.3248,772.0,0.0,51.6751708984375
2019-09-05,777.0,792.0,777,780.0,8861,60.62073297,730.91284,770.0,0.0,49.087158203125
2019-09-08,780.0,781.0,775,776.0,9562,58.51434514,735.08856,759.0,0.0,40.91143798828125
2019-09-09,776.0,778.0,770,776.0,4931,58.51434514,737.39655,742.0,0.0,38.60345458984375
2019-09-10,776.0,775.0,767,769.0,7569,54.87196002,737.0251,750.0,0.0,31.97491455078125
2019-09-11,769.0,772.0,765,772.0,4673,56.85861629,735.6677,775.0,-36.332275390625,0.0
2019-09-12,772.0,771.0,765,770.0,10514,55.8695284,733.7427,770.0,0.0,0.0
2019-09-15,770.0,775.0,759,759.0,6359,50.01703651,729.85974,764.9999999999999,-29.1402587890625,0.0
2019-09-16,759.0,756.0,742,742.0,10591,38.26860477,721.7159,760.0,-20.28411865234375,0.0
2019-09-17,742.0,766.0,745,750.0,10137,42.64911053,715.11633,760.0,-34.8836669921875,0.0
2019-09-18,750.0,780.0,762,775.0,7924,63.86124322,717.8723,759.0,0.0,57.127685546875
2019-09-19,775.0,784.0,770,770.0,13287,60.18348743,723.67365,759.0,0.0,46.32635498046875
2019-09-22,770.0,770.0,762,765.0,7591,56.02821934,727.66705,752.0,0.0,37.33294677734375
2019-09-23,765.0,768.0,760,760.0,6194,51.30984607,728.41394,760.0,0.0,0.0
2019-09-24,760.0,760.0,757,760.0,7998,51.30984607,727.35785,772.0,-32.64215087890625,0.0
2019-09-25,760.0,765.0,759,759.0,3910,50.39186921,725.51056,772.0,-33.48944091796875,0.0
2019-09-26,759.0,762.0,755,759.0,3989,50.39186921,723.6708,769.0,-35.3292236328125,0.0
2019-09-29,759.0,760.0,751,752.0,3598,44.02189867,720.3925,770.0,-31.60748291015625,0.0
2019-09-30,752.0,760.0,754,760.0,4706,50.96704275,719.4643,764.9999999999999,-40.53570556640625,0.0
2019-10-01,760.0,777.0,761,772.0,2719,65.32101022,724.56177,763.0,0.0,47.438232421875
2019-10-02,772.0,780.0,770,772.0,4486,65.32101022,731.15765,762.0,0.0,40.84234619140625
2019-10-03,772.0,778.0,769,769.0,5226,63.07960981,735.7535,760.0,0.0,33.24652099609375
2019-10-10,769.0,773.0,765,770.0,728,64.36730295,737.949,757.0000000000001,0.0,32.051025390625
2019-10-14,770.0,770.0,757,765.0,16518,60.63649905,737.03125,758.0,0.0,27.96875
2019-10-15,765.0,765.0,760,763.0,4973,59.04374288,733.249,756.0,0.0,29.7509765625
2019-10-16,763.0,768.0,754,762.0,4902,58.25959576,728.1252,762.0,0.0,0.0
2019-10-17,762.0,765.0,759,760.0,8157,56.72072341,722.4257,767.9999999999999,-37.57427978515625,0.0
2019-10-20,760.0,766.0,756,757.0,4145,54.37796689,716.43823,761.0,-40.561767578125,0.0
2019-10-21,757.0,764.0,755,758.0,6056,55.30458843,711.5643,760.0,-46.43572998046875,0.0
