,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200,adjclose_3,true_adjclose_3,buy_profit,sell_profit
640.0,241,243,244,240,33421,43.78317621874219,27.272727272727277,0.2356352329938098,0.4712549096882201,0.4869173496730078,-1.325818954572071,-0.1153236186684045,4.634663240361961,244.5,238.3518295403894,250.6481704596106,5.02917829007003,247.1,239.1,3.2908268202385846,-72.72727272727273,249.0,243.0,248.0,246.0,239.297040780126,242.68198,239.99999999999997,0.0,-1.681976318359375
663.0,214,209,214,209,16433,34.04067842671378,23.68421052631579,0.6787277183199509,0.4969273757787478,0.3721308748870944,-7.069410394735712,-0.0904292174599215,4.995818124777871,226.15,197.2621132652372,255.03788673476285,25.5475451998787,217.06666666666663,209.26666666666665,3.659108678655204,-76.3157894736842,225.5,219.5,233.0,222.5,236.817691243353,206.50992,216.0,-7.490081787109375,0.0
665.0,212,212,213,210,10121,33.29744575139739,20.0,0.8458878101556544,0.7641400424567726,0.6261957529365968,-5.917448912199546,0.7805299721334498,4.706612681070075,223.15,195.0411046108088,251.2588953891912,25.19282580254644,213.2333333333333,206.23333333333332,3.337571519389674,-80.0,225.0,210.5,233.0,217.75,236.3164127355269,207.73915,226.00000000000003,-4.2608489990234375,0.0
680.0,234,234,235,233,13077,56.372967525503256,73.07692307692308,0.4702918408022675,0.6577928805829292,0.7217180875501331,2.474313888581378,0.1853202641549214,5.100017678180864,226.6,206.63603245843933,246.56396754156063,17.62044796254251,238.6,229.0,4.106073567151409,-26.923076923076923,223.0,233.0,226.5,228.0,235.68600196842235,237.12546,243.0,3.125457763671875,0.0
686.0,244,243,246,242,39856,65.06283394589784,78.94736842105263,0.7511376393341487,0.8759192406065629,0.9368917610594047,4.326373348949176,0.8731260779020538,5.098953494910116,235.6,224.43935485733613,246.76064514266383,9.474231869833504,242.5,233.9,3.610411418975649,-21.05263157894737,227.5,239.0,226.5,233.25,236.06635676649887,244.29646,247.0,0.2964630126953125,0.0
692.0,251,250,252,249,63792,67.79048601248996,86.36363636363636,0.7827742464688289,0.6823961116756196,0.6744406587152952,4.472085798187408,0.0953871611195236,5.132442944288527,240.9,226.75927866053308,255.04072133946693,11.739909787851326,252.36666666666665,241.7666666666667,4.290339989206666,-13.636363636363637,234.5,248.0,229.5,241.25,236.84844464975856,252.19942,278.0,1.1994171142578125,0.0
700.0,298,296,300,291,245331,84.95393167166428,96.55172413793105,1.0,0.9028815964912336,0.8300847930637384,12.832400350364535,3.357686769006577,8.422847954712068,259.1,223.37941769790967,294.8205823020904,27.572815362478075,280.93333333333334,261.93333333333334,6.999877195136928,-3.4482758620689653,264.5,274.5,252.5,269.5,240.10579187840483,286.68356,288.0,0.0,11.316436767578125
701.0,293,300,304,290,131016,78.12356074481988,81.35593220338983,0.6777713175700383,0.884740550244406,0.859127864537609,12.916519907910242,2.753445061241825,8.980563159240862,261.95,224.98258191325223,298.9174180867477,28.22478952987038,286.6,265.8,7.53077480086892,-18.64406779661017,266.5,277.5,254.5,272.0,240.6321024069779,290.89996,287.0,0.0,2.10003662109375
705.0,282,293,293,278,162464,64.16842014837621,60.0,0.0,0.195636911153877,0.3542075477971905,8.814894866886789,-1.4852037505164866,10.03364748877793,270.65,234.9105260251304,306.3894739748696,26.410104544518425,297.2333333333333,274.6333333333333,7.903940312427126,-40.0,268.5,287.5,254.5,278.0,242.4391990184476,294.21524,283.0,12.215240478515625,0.0
706.0,288,282,289,277,85592,67.85800586163819,69.81132075471699,0.1775075734425957,0.1398864262452437,0.2321376449350503,8.206045723382317,-1.6752423152167673,10.230282739900137,272.85,238.55553980596324,307.1444601940368,25.137958727532915,298.6,274.6,8.374040474528961,-30.18867924528302,268.5,287.5,254.5,278.0,242.89254032174665,293.35632,281.0,0.0,-5.3563232421875
