,adjclose,open,high,low,volume,other,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
1495.0,167,169,169,167,3524,ok,52.476045849599736,169.34714,178.0,2.347137451171875,0.0
1496.0,172,169,175,167,7523,ok,59.47886370448765,170.04024,190.0,-1.9597625732421875,0.0
1497.0,171,173,178,169,10660,ok,57.649212441122266,170.90965,195.0,-0.0903472900390625,0.0
1498.0,173,172,173,170,4557,ok,60.28081707095759,171.88281,188.0,-1.1171875,0.0
1499.0,173,174,174,171,2249,ok,60.28081707095759,172.84744,184.0,-0.152557373046875,0.0
1500.0,178,172,179,172,6892,ok,66.34435909135613,174.45302,188.0,-3.5469818115234375,0.0
1501.0,190,180,192,179,28490,ok,75.86662133743242,177.78377,190.0,0.0,0.0
1502.0,195,199,204,195,28564,ok,78.58535460578265,182.49998,200.0,-12.500015258789062,0.0
1503.0,188,195,200,187,26338,ok,67.17567986766286,186.08557,200.0,-1.9144287109375,0.0
1504.0,184,190,193,184,28564,ok,61.666026849925295,187.88222,202.0,3.8822174072265625,0.0
1505.0,188,186,192,184,18855,ok,64.77717733455894,188.84799,200.0,0.847991943359375,0.0
1506.0,190,186,192,186,8573,ok,66.25200035363419,189.5082,200.0,-0.4918060302734375,0.0
1507.0,200,193,203,193,35809,ok,72.46096464911099,191.2527,203.0,-8.747299194335938,0.0
1508.0,200,208,208,200,28908,ok,72.46096464911099,193.6853,199.0,0.0,6.314697265625
1509.0,202,200,204,200,17261,ok,73.58808522050425,196.16577,200.0,0.0,5.834228515625
1510.0,200,204,204,199,16532,ok,70.48151231440696,198.1995,209.0,-1.800506591796875,0.0
1511.0,200,200,203,198,15967,ok,70.48151231440696,199.75641,215.00000000000003,-0.24359130859375,0.0
1512.0,203,204,207,201,12807,ok,72.50104490137345,201.36552,229.0,-1.6344757080078125,0.0
1513.0,199,202,205,199,11830,ok,66.01577700315663,202.17609,220.0,3.17608642578125,0.0
1514.0,200,199,201,199,15613,ok,66.81496800937435,202.51746,218.0,2.5174560546875,0.0
1515.0,209,204,212,201,32546,ok,72.97480560842857,203.76562,217.0,-5.234375,0.0
1516.0,215,213,218,213,53871,ok,76.15283043646997,206.04533,215.00000000000003,-8.954666137695312,0.0
